sent_id,MSA,Cairo,Dubai,Riyadh,Beirut,Casablanca
0,الجملة رقم 0 باللغة العربية الفصحى,الجملة رقم 0 باللهجة المصرية,الجملة رقم 0 باللهجة الإماراتية,الجملة رقم 0 باللهجة السعودية,الجملة رقم 0 باللهجة اللبنانية,الجملة رقم 0 باللهجة المغربية
1,الجملة رقم 1 باللغة العربية الفصحى,الجملة رقم 1 باللهجة المصرية,الجملة رقم 1 باللهجة الإماراتية,الجملة رقم 1 باللهجة السعودية,الجملة رقم 1 باللهجة اللبنانية,الجملة رقم 1 باللهجة المغربية
2,الجملة رقم 2 باللغة العربية الفصحى,الجملة رقم 2 باللهجة المصرية,الجملة رقم 2 باللهجة الإماراتية,الجملة رقم 2 باللهجة السعودية,الجملة رقم 2 باللهجة اللبنانية,الجملة رقم 2 باللهجة المغربية
3,الجملة رقم 3 باللغة العربية الفصحى,الجملة رقم 3 باللهجة المصرية,الجملة رقم 3 باللهجة الإماراتية,الجملة رقم 3 باللهجة السعودية,الجملة رقم 3 باللهجة اللبنانية,الجملة رقم 3 باللهجة المغربية
4,الجملة رقم 4 باللغة العربية الفصحى,الجملة رقم 4 باللهجة المصرية,الجملة رقم 4 باللهجة الإماراتية,الجملة رقم 4 باللهجة السعودية,الجملة رقم 4 باللهجة اللبنانية,الجملة رقم 4 باللهجة المغربية
5,الجملة رقم 5 باللغة العربية الفصحى,الجملة رقم 5 باللهجة المصرية,الجملة رقم 5 باللهجة الإماراتية,الجملة رقم 5 باللهجة السعودية,الجملة رقم 5 باللهجة اللبنانية,الجملة رقم 5 باللهجة المغربية
6,الجملة رقم 6 باللغة العربية الفصحى,الجملة رقم 6 باللهجة المصرية,الجملة رقم 6 باللهجة الإماراتية,الجملة رقم 6 باللهجة السعودية,الجملة رقم 6 باللهجة اللبنانية,الجملة رقم 6 باللهجة المغربية
7,الجملة رقم 7 باللغة العربية الفصحى,الجملة رقم 7 باللهجة المصرية,الجملة رقم 7 باللهجة الإماراتية,الجملة رقم 7 باللهجة السعودية,الجملة رقم 7 باللهجة اللبنانية,الجملة رقم 7 باللهجة المغربية
8,الجملة رقم 8 باللغة العربية الفصحى,الجملة رقم 8 باللهجة المصرية,الجملة رقم 8 باللهجة الإماراتية,الجملة رقم 8 باللهجة السعودية,الجملة رقم 8 باللهجة اللبنانية,الجملة رقم 8 باللهجة المغربية
9,الجملة رقم 9 باللغة العربية الفصحى,الجملة رقم 9 باللهجة المصرية,الجملة رقم 9 باللهجة الإماراتية,الجملة رقم 9 باللهجة السعودية,الجملة رقم 9 باللهجة اللبنانية,الجملة رقم 9 باللهجة المغربية
10,الجملة رقم 10 باللغة العربية الفصحى,الجملة رقم 10 باللهجة المصرية,الجملة رقم 10 باللهجة الإماراتية,الجملة رقم 10 باللهجة السعودية,الجملة رقم 10 باللهجة اللبنانية,الجملة رقم 10 باللهجة المغربية
11,الجملة رقم 11 باللغة العربية الفصحى,الجملة رقم 11 باللهجة المصرية,الجملة رقم 11 باللهجة الإماراتية,الجملة رقم 11 باللهجة السعودية,الجملة رقم 11 باللهجة اللبنانية,الجملة رقم 11 باللهجة المغربية
12,الجملة رقم 12 باللغة العربية الفصحى,الجملة رقم 12 باللهجة المصرية,الجملة رقم 12 باللهجة الإماراتية,الجملة رقم 12 باللهجة السعودية,الجملة رقم 12 باللهجة اللبنانية,الجملة رقم 12 باللهجة المغربية
13,الجملة رقم 13 باللغة العربية الفصحى,الجملة رقم 13 باللهجة المصرية,الجملة رقم 13 باللهجة الإماراتية,الجملة رقم 13 باللهجة السعودية,الجملة رقم 13 باللهجة اللبنانية,الجملة رقم 13 باللهجة المغربية
14,الجملة رقم 14 باللغة العربية الفصحى,الجملة رقم 14 باللهجة المصرية,الجملة رقم 14 باللهجة الإماراتية,الجملة رقم 14 باللهجة السعودية,الجملة رقم 14 باللهجة اللبنانية,الجملة رقم 14 باللهجة المغربية
15,الجملة رقم 15 باللغة العربية الفصحى,الجملة رقم 15 باللهجة المصرية,الجملة رقم 15 باللهجة الإماراتية,الجملة رقم 15 باللهجة السعودية,الجملة رقم 15 باللهجة اللبنانية,الجملة رقم 15 باللهجة المغربية
16,الجملة رقم 16 باللغة العربية الفصحى,الجملة رقم 16 باللهجة المصرية,الجملة رقم 16 باللهجة الإماراتية,الجملة رقم 16 باللهجة السعودية,الجملة رقم 16 باللهجة اللبنانية,الجملة رقم 16 باللهجة المغربية
