tweet_id,text,label
0,هذا تغريدة تجريبية رقم 0 باللهجة #تجربة,UAE
1,هذا تغريدة تجريبية رقم 1 باللهجة #تجربة,Jordan
2,هذا تغريدة تجريبية رقم 2 باللهجة #تجربة,Jordan
3,هذا تغريدة تجريبية رقم 3 باللهجة #تجربة,Egypt
4,هذا تغريدة تجريبية رقم 4 باللهجة #تجربة,Egypt
5,هذا تغريدة تجريبية رقم 5 باللهجة #تجربة,UAE
6,هذا تغريدة تجريبية رقم 6 باللهجة #تجربة,Morocco
7,هذا تغريدة تجريبية رقم 7 باللهجة #تجربة,Morocco
8,هذا تغريدة تجريبية رقم 8 باللهجة #تجربة,Saudi_Arabia
9,هذا تغريدة تجريبية رقم 9 باللهجة #تجربة,Saudi_Arabia
10,هذا تغريدة تجريبية رقم 10 باللهجة #تجربة,Syria
11,هذا تغريدة تجريبية رقم 11 باللهجة #تجربة,Morocco
12,هذا تغريدة تجريبية رقم 12 باللهجة #تجربة,Morocco
13,هذا تغريدة تجريبية رقم 13 باللهجة #تجربة,Palestine
14,هذا تغريدة تجريبية رقم 14 باللهجة #تجربة,Morocco
15,هذا تغريدة تجريبية رقم 15 باللهجة #تجربة,Morocco
16,هذا تغريدة تجريبية رقم 16 باللهجة #تجربة,Saudi_Arabia
17,هذا تغريدة تجريبية رقم 17 باللهجة #تجربة,Palestine
18,هذا تغريدة تجريبية رقم 18 باللهجة #تجربة,Saudi_Arabia
19,هذا تغريدة تجريبية رقم 19 باللهجة #تجربة,Egypt
20,هذا تغريدة تجريبية رقم 20 باللهجة #تجربة,Palestine
21,هذا تغريدة تجريبية رقم 21 باللهجة #تجربة,Egypt
22,هذا تغريدة تجريبية رقم 22 باللهجة #تجربة,Jordan
23,هذا تغريدة تجريبية رقم 23 باللهجة #تجربة,Egypt
24,هذا تغريدة تجريبية رقم 24 باللهجة #تجربة,Egypt
25,هذا تغريدة تجريبية رقم 25 باللهجة #تجربة,Syria
26,هذا تغريدة تجريبية رقم 26 باللهجة #تجربة,Jordan
27,هذا تغريدة تجريبية رقم 27 باللهجة #تجربة,Jordan
28,هذا تغريدة تجريبية رقم 28 باللهجة #تجربة,Palestine
29,هذا تغريدة تجريبية رقم 29 باللهجة #تجربة,UAE
30,هذا تغريدة تجريبية رقم 30 باللهجة #تجربة,Palestine
31,هذا تغريدة تجريبية رقم 31 باللهجة #تجربة,UAE
32,هذا تغريدة تجريبية رقم 32 باللهجة #تجربة,Syria
33,هذا تغريدة تجريبية رقم 33 باللهجة #تجربة,Lebanon
34,هذا تغريدة تجريبية رقم 34 باللهجة #تجربة,Jordan
35,هذا تغريدة تجريبية رقم 35 باللهجة #تجربة,Lebanon
36,هذا تغريدة تجريبية رقم 36 باللهجة #تجربة,Syria
37,هذا تغريدة تجريبية رقم 37 باللهجة #تجربة,Syria
38,هذا تغريدة تجريبية رقم 38 باللهجة #تجربة,Palestine
39,هذا تغريدة تجريبية رقم 39 باللهجة #تجربة,UAE
40,هذا تغريدة تجريبية رقم 40 باللهجة #تجربة,Saudi_Arabia
41,هذا تغريدة تجريبية رقم 41 باللهجة #تجربة,Palestine
42,هذا تغريدة تجريبية رقم 42 باللهجة #تجربة,UAE
43,هذا تغريدة تجريبية رقم 43 باللهجة #تجربة,Palestine
44,هذا تغريدة تجريبية رقم 44 باللهجة #تجربة,Lebanon
45,هذا تغريدة تجريبية رقم 45 باللهجة #تجربة,Egypt
46,هذا تغريدة تجريبية رقم 46 باللهجة #تجربة,Saudi_Arabia
47,هذا تغريدة تجريبية رقم 47 باللهجة #تجربة,Egypt
48,هذا تغريدة تجريبية رقم 48 باللهجة #تجربة,Lebanon
49,هذا تغريدة تجريبية رقم 49 باللهجة #تجربة,Palestine
50,هذا تغريدة تجريبية رقم 50 باللهجة #تجربة,Lebanon
51,هذا تغريدة تجريبية رقم 51 باللهجة #تجربة,Morocco
52,هذا تغريدة تجريبية رقم 52 باللهجة #تجربة,Syria
53,هذا تغريدة تجريبية رقم 53 باللهجة #تجربة,Morocco
54,هذا تغريدة تجريبية رقم 54 باللهجة #تجربة,Egypt
55,هذا تغريدة تجريبية رقم 55 باللهجة #تجربة,Syria
56,هذا تغريدة تجريبية رقم 56 باللهجة #تجربة,Egypt
57,هذا تغريدة تجريبية رقم 57 باللهجة #تجربة,Palestine
58,هذا تغريدة تجريبية رقم 58 باللهجة #تجربة,Jordan
59,هذا تغريدة تجريبية رقم 59 باللهجة #تجربة,Palestine
60,هذا تغريدة تجريبية رقم 60 باللهجة #تجربة,Palestine
61,هذا تغريدة تجريبية رقم 61 باللهجة #تجربة,Jordan
62,هذا تغريدة تجريبية رقم 62 باللهجة #تجربة,Morocco
63,هذا تغريدة تجريبية رقم 63 باللهجة #تجربة,UAE
64,هذا تغريدة تجريبية رقم 64 باللهجة #تجربة,Syria
65,هذا تغريدة تجريبية رقم 65 باللهجة #تجربة,Morocco
66,هذا تغريدة تجريبية رقم 66 باللهجة #تجربة,Morocco
67,هذا تغريدة تجريبية رقم 67 باللهجة #تجربة,Syria
68,هذا تغريدة تجريبية رقم 68 باللهجة #تجربة,Morocco
69,هذا تغريدة تجريبية رقم 69 باللهجة #تجربة,Morocco
70,هذا تغريدة تجريبية رقم 70 باللهجة #تجربة,Palestine
71,هذا تغريدة تجريبية رقم 71 باللهجة #تجربة,Egypt
72,هذا تغريدة تجريبية رقم 72 باللهجة #تجربة,Syria
73,هذا تغريدة تجريبية رقم 73 باللهجة #تجربة,Palestine
74,هذا تغريدة تجريبية رقم 74 باللهجة #تجربة,Egypt
75,هذا تغريدة تجريبية رقم 75 باللهجة #تجربة,Jordan
76,هذا تغريدة تجريبية رقم 76 باللهجة #تجربة,Syria
77,هذا تغريدة تجريبية رقم 77 باللهجة #تجربة,Palestine
78,هذا تغريدة تجريبية رقم 78 باللهجة #تجربة,Saudi_Arabia
79,هذا تغريدة تجريبية رقم 79 باللهجة #تجربة,Saudi_Arabia
80,هذا تغريدة تجريبية رقم 80 باللهجة #تجربة,Saudi_Arabia
81,هذا تغريدة تجريبية رقم 81 باللهجة #تجربة,Egypt
82,هذا تغريدة تجريبية رقم 82 باللهجة #تجربة,Lebanon
83,هذا تغريدة تجريبية رقم 83 باللهجة #تجربة,Morocco
84,هذا تغريدة تجريبية رقم 84 باللهجة #تجربة,Palestine
85,هذا تغريدة تجريبية رقم 85 باللهجة #تجربة,Jordan
86,هذا تغريدة تجريبية رقم 86 باللهجة #تجربة,UAE
87,هذا تغريدة تجريبية رقم 87 باللهجة #تجربة,Morocco
88,هذا تغريدة تجريبية رقم 88 باللهجة #تجربة,Saudi_Arabia
89,هذا تغريدة تجريبية رقم 89 باللهجة #تجربة,Palestine
90,هذا تغريدة تجريبية رقم 90 باللهجة #تجربة,Palestine
91,هذا تغريدة تجريبية رقم 91 باللهجة #تجربة,UAE
92,هذا تغريدة تجريبية رقم 92 باللهجة #تجربة,UAE
93,هذا تغريدة تجريبية رقم 93 باللهجة #تجربة,Morocco
94,هذا تغريدة تجريبية رقم 94 باللهجة #تجربة,Syria
95,هذا تغريدة تجريبية رقم 95 باللهجة #تجربة,Syria
96,هذا تغريدة تجريبية رقم 96 باللهجة #تجربة,Jordan
97,هذا تغريدة تجريبية رقم 97 باللهجة #تجربة,Saudi_Arabia
98,هذا تغريدة تجريبية رقم 98 باللهجة #تجربة,Lebanon
99,هذا تغريدة تجريبية رقم 99 باللهجة #تجربة,Lebanon
100,هذا تغريدة تجريبية رقم 100 باللهجة #تجربة,Syria
101,هذا تغريدة تجريبية رقم 101 باللهجة #تجربة,Lebanon
102,هذا تغريدة تجريبية رقم 102 باللهجة #تجربة,Lebanon
103,هذا تغريدة تجريبية رقم 103 باللهجة #تجربة,Morocco
104,هذا تغريدة تجريبية رقم 104 باللهجة #تجربة,Egypt
105,هذا تغريدة تجريبية رقم 105 باللهجة #تجربة,UAE
106,هذا تغريدة تجريبية رقم 106 باللهجة #تجربة,Palestine
107,هذا تغريدة تجريبية رقم 107 باللهجة #تجربة,Jordan
108,هذا تغريدة تجريبية رقم 108 باللهجة #تجربة,Lebanon
109,هذا تغريدة تجريبية رقم 109 باللهجة #تجربة,Syria
110,هذا تغريدة تجريبية رقم 110 باللهجة #تجربة,UAE
111,هذا تغريدة تجريبية رقم 111 باللهجة #تجربة,Jordan
112,هذا تغريدة تجريبية رقم 112 باللهجة #تجربة,Lebanon
